P00001606T0076|37 50|5-nucleotidase
P00001606T0076|14 33|alkaline phosphatases
P00015731A0090|36 52|carbonic anhydrase
P00027739T0000|0 28|Serum gamma glutamyltransferase
P00029953T0045|17 22|lipase
P00030183T0000|33 38|HLA-B5
P00030937A0119|0 3|SGPT
P00030937A0119|13 31|alkaline phosphatase
P00030937A0119|5 8|SGOT
P00033873T0001|0 26|Gamma glutamyl transpeptidase
P00033873T0001|28 31|GGTP
P00050628A0202|2 4|IgG
P00052597T0000|9 23|immunoglobulin E
P00054900A0226|0 9|Peroxydase
P00054900A0226|37 57|chloroacetate esterase
P00055040A0000|116 125|fibrinogen
P00055040A0000|243 254|cryoglobulin
P00055040A0000|269 278|fibrinogen
P00055040A0000|158 167|FR-antigen
P00055040A0000|127 132|fibrin
P00056901A0308|10 21|human albumin
