P00001606T0076|37 50|5-nucleotidase
P00001606T0076|14 33|alkaline phosphatases
P00015731A0090|36 52|carbonic anhydrase
P00027739T0000|0 28|Serum gamma glutamyltransferase
P00029953T0045|17 22|lipase
P00030183T0000|33 38|HLA-B5
P00030937A0119|0 3|SGPT
P00030937A0119|13 31|alkaline phosphatase
P00030937A0119|5 8|SGOT
P00033873T0001|0 26|Gamma glutamyl transpeptidase
P00033873T0001|28 31|GGTP
P00050628A0202|2 4|IgG
P00052597T0000|9 23|immunoglobulin E
P00054900A0226|0 9|Peroxydase
P00054900A0226|37 57|chloroacetate esterase
P00055040A0000|116 125|fibrinogen
P00055040A0000|243 254|cryoglobulin
P00055040A0000|269 278|fibrinogen
P00055040A0000|158 167|FR-antigen
P00055040A0000|127 132|fibrin
P00056901A0308|10 21|human albumin
P00066874T0000|26 41|alpha fetoprotein
P00072928T0000|0 13|Serum-ferritin
P00083846T0000|0 6|Albumin
P00089778A0000|18 37|alpha 2-macroglobulin
P00089778A0000|58 68|plasminogen
P00089778A0000|70 82|C3-complement
P00089778A0000|84 93|fibrinogen
P00089778A0000|39 56|alpha 1-antitrypsin
P00100540T0000|44 66|platelet cyclo-oxygenase
P00101300A0257|49 50|N1
P00101300A0257|46 47|N0
P00101300A0257|37 38|T1
P00101300A0257|40 41|T2
P00101300A0257|43 44|T3
P00105401A0635|52 65|thyroid hormone
P00105401A0635|75 77|TBG
P00139624A0318|48 65|serum ceruloplasmin
P00150066A0100|11 20|fibrinogen
P00150066A0100|52 59|thrombin
P00154430A0906|94 114|HindIII-EcoRI fragment
P00173860A0475|37 45|aflatoxin
P00201881A0487|72 74|MSH
P00201881A0487|65 68|ACTH
P00209664A0836|33 34|LH
P00216939T0001|32 61|tricarboxylic acid dehydrogenase
